ck3 title,sanitised name,desc,Pictish,Cumbrian,Cornish,Breton,,Welsh,,Gaelic,,Irish,ir_desc,,Russian,desc,Belarusian,desc,Ukrainian,desc,,Polish,desc,Sorbian,Kashubian,Czech,Slovak,desc,Serbian,Croatian,Bosnian,,Lithuanian,Latgalian,,Armenian,,Greek,,Roman,Romanian,French,,Occitan,Norman,Outremer,Cisalpine,Catalan,Andalusian,,Sardinian,,Sicilian,Italian,,Norse,desc,Swedish,Danish,Norwegian,,German,Swabian,Franconian,Bavarian,Saxon,Old_Saxon,Anglo_Saxon,English,Scottish,,Visigothic,,Butr,Zaghawa,Baranis,Guanches,,Egyptian,Maghreb,Levantine,Bedouin,Yemeni,,Uralic,Finnish,Estonian,Karelian,Merya,Komi,Mordvin,Muroma,Mari,Meshchera,,Mongol,Mongolic,Buryat,Hungarian,Mogyer,Khitan,Naiman,Sogdian,Shatuo,Kerait,Bolghar,Turkish,Kirghiz,Cuman,Bashkir,Uriankhai,Oirat,Kipchak,Tuyuhun,Khazar,Uyghur,Persian_Turkish,,Austro-Asiatic,Lhomon,Burmese,Mon,Sino-Tibetan,Han,Qiang,Tangut,Tsangpa,Bodpa,Zhangzhung,Sumpa,,Tungusic,Jurchen
e_wendish_empire,Great Lechia,renamed to Great Lechia- pseudohistorical polish meme,,,,,,,,,,,,,Great Lakhia,,Great Lachia,,Great Lekhia,,,Great Lechia,,,Great Lechia,Great Czechia,Great Moravia,mirroring Great Lechia- from the story Lech Czech and Rus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e_britannia,Britannia,,Pictavia,Prydain,Prydain,Two Britains,Predain,Prydain,,Great Alba,,Bretain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
k_cumbria,Cumbria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
k_east_anglia,East Anglia,Eastengle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
k_mercia,Mercia,Mierce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
k_northumberland,Northumberland,Northymbraland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
k_wessex,Wessex,Westseaxe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
k_kent,Kent,Kent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
k_essex,Essex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,East Seaxe,East Seaxe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
k_hwicce,Hwicce,Hwicce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
