ck3 title,sanitised name,desc,welsh,,Breton,,gaelic,also used in game by manx,Irish,,russian,desc,belarusian,iotised vowels use y- use w for caron u/y,ukrainian,desc,polish,desc,sorbian,based on lower sorbian,kashub,Uses Polish unless otherwise specified,Czech,Slovak,desc,Croatian,,lithuanian,desc,Romanian,,Finnic,,French,,German,,
e_wendish_empire,Great Lechia,renamed to Great Lechia- pseudohistorical polish meme,,,,,,,,,Great Lakhia,,Great Lachia,,Great Lekhia,,Great Lechia,,,,,,Great Czechia,Great Moravia,mirroring Great Lechia- from the story Lech Czech and Rus,,,,,,,,,,,,,
e_britannia,Britannia,,Prydain,,,,Bretain,,Bretain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
k_cumbria,Cumbria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
k_east_anglia,East Anglia,Eastengle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
k_mercia,Mercia,Mierce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
k_northumberland,Northumberland,Northymbraland,,,,,,,Deira,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
k_wessex,Wessex,Westseaxe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
k_kent,Kent,Kent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
k_essex,Essex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
k_hwicce,Hwicce,Hwicce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
k_strathclyde,Strathclyde,Ystrad Clut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SCOTLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
k_picts_mbrn,Picts_mbrn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
k_dalriata_mbrn,Dalriata_mbrn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
k_england,England,Force the use of the decision,Loegria,from Lloegyr in Arthurian legend,,,Lacria,,Lacria,"assuming the welsh name is from ""warrior"" then the Irish would be ""Laochor"" or something",,,,,,,,,,,,,,,,,,,,,,,,,,,,
d_ireland_lordship,Lordship of Ireland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d_essex,Essex,,Colyn,,,,Trinovia,,Trinovia,from Trinovantes (pre-roman tribe),,,,,,,,,,,,,,,,,,,,,,,,,,,,
c_essex,Essex,,Colyn,,,,,,Coilín,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b_colchester,Colchester,COLonia + ceaster (castle),Caergolyn,,,,,,Cathair Choilín,cathair (castle) + coilín (colony),,,,,,,,,,,,,,,,,,,,,,,,,,,,
b_maldon,Maldon,mǣl (monument/cross) + dūn (hill),Rhydlydan,,,,,,Mullach Dobhair,Dark/water Hill,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b_chelmsford,Chelmsford,Ceolmaer's ford (of Can river),Rhydgeol,,,,,,Baile Átha Cann,town of ford of (river) Can,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b_dunmow,Dunmow,dun (hill) + mow (meadow),Brynddôl,,,,,,Mullach Donn,Brown Hill,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c_hertfordshire,Hertfordshire,,Rhydgeirw,,,,,,Inbhear Lí,estuary (in this case intersection of rivers) river Lea,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b_berkhamsted,Berkhamsted,Beorhðanstædæ (beorg/hill + hamsted/homestead),Trigfanfryn,,,,,,Baile an Bairr,Town of the Hilltop (bairr/barr same root as beorhdhan),,,,,,,,,,,,,,,,,,,,,,,,,,,,
b_saint_albans,Saint Alban's,"Iron Age celtic settlement ""Verlamion"" from Brythonic *wer (high) + *lama: (hand) - lama changed to lamion bc -i- is adjectival for places and -on as the neutral suffix",Alban Sant,,,,,,Cill Albain,Alban's church,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b_hertford,Hertford,hart (stag) + ford,Rhydgeirw,,,,,,Inbhear Lí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c_middlesex,Middlesex,,Llundain,real name for london,,,,,Linndein,guessing,,,,,,,,,,,,,,,,,,,,,,,,,,,,
