ck3 title,czech
e_wendish_empire,Great Czechia
e_britannia,
k_cumbria,
k_east_anglia,
k_mercia,
k_northumberland,
k_wessex,
k_kent,
k_essex,
k_hwicce,
k_strathclyde,
,
,
,
k_picts_mbrn,
k_dalriata_mbrn,
k_england,
d_ireland_lordship,
d_essex,
c_essex,
b_colchester,
b_maldon,
b_chelmsford,
b_dunmow,
c_hertfordshire,
b_berkhamsted,
b_saint_albans,
b_hertford,
c_middlesex,
b_london,
b_southwark,
b_woxbrigge,
b_gore,
b_brentford,
d_channel_islands,
c_jersey,
b_st_peter_port,
b_gorey,
d_bedford,
c_bedford,
b_bedford,
b_ampthill,
b_luton,
c_huntingdonshire,
b_hurstingstone,
b_norman_cross,
b_leightonstone,
c_northamptonshire,
b_northampton,
b_peterborough,
b_kettering,
c_buckinghamshire,
b_buckingham,
b_aylesbury,
b_newport,
b_wycombe,
,
d_northumberland,
c_northumberland,
b_bamburgh,
b_rothbury,
b_lindisfarne,
b_hexham,
c_durham,
b_durham,
b_hartlepool,
b_darlingtonlocalize,
d_lancaster,
c_lancashire,
b_lancaster,
b_salford,
b_west_derby,
c_westmorland,
,
b_kendal,
b_appleby,
c_cheshire,
b_chester,
b_northwich,
b_macclesfield,
d_york,
c_north_riding,
b_york,
b_scarborough,
b_whitby,
b_yarlestre,
c_richmond,
b_richmond,
b_bolton,
c_east_riding,
b_pockington,
b_cottingham,
b_bridlington,
,
c_west_riding,
b_leeds,
b_doncaster,
b_halifax,
b_sheffield,
b_ripon,
d_norfolk,
c_norfolk,
b_norwich,
b_thetford,
b_walsingham,
b_lynn,
c_suffolk,
b_ipswich,
b_sudbury,
b_blything,
b_beodericsworth,
c_cambridgeshire,
b_cambridge,
b_radfield,
b_papworth,
b_ely,
d_fivebouroughs,
c_lincolnshire,
b_lincoln,
b_stamford,
b_boston,
b_bolingsbroke,
b_grimsby,
c_rutland,
b_rutland,
c_leicestershire,
b_leicester,
b_melton,
b_bosworth,
c_nottinghamshire,
b_nottingham,
b_newark,
b_retford,
c_derby,
b_derby,
b_chesterfield,
b_castleton,
d_hereford,
c_warwickshire,
b_warwick,
b_coventry,
b_birmingham,
c_staffordshire,
b_stafford,
b_wolverhampton,
b_stoke_on_trent,
c_worcestershire,
b_worcester,
b_evesham,
b_kidderminster,
c_shropshire,
b_shrewsbury,
b_ludlow,
b_bishops_castle,
d_gloucester,
c_gloucestershire,
b_gloucester,
b_bristol,
b_winchcombe,
c_wiltshire,
b_salisbury,
b_wilton,
b_ramsbury,
b_malmesbury,
c_oxfordshire,
b_oxford,
b_banbury,
b_witney,
c_berkshire,
b_reading,
b_newbury,
b_abingdon,
d_canterbury,
c_kent,
b_dover,
b_canterbury,
b_rochester,
b_tonbridge,
c_surrey,
b_chertsey,
b_guildford,
b_kingston,
b_tandbridge,
c_sussex,
b_lewes,
b_chichester,
b_arun,
b_hastings,
d_somerset,
c_hampton,
b_winchester,
b_southampton,
b_portsmouth,
b_basingstoke,
b_christchurch,
c_isle_of_wight,
b_carisbrooke,
c_dorset,
b_wareham,
b_poole,
b_shaftesbury,
b_lyme,
c_somerset,
b_bath,
b_winterstoke,
b_ilchester,
b_taunton,
d_cornwall,
c_devon,
b_exeter,
b_totnes,
b_okehampton,
b_barnstaple,
c_cornwall,
b_launceston,
b_tintagel,
b_helston,
,
k_wales,
d_gwynedd,
c_caernarfonshire,
b_caernarfon,
b_llyn,
b_llandudno,
c_merioneth,
b_dolgellau,
b_corwen,
c_anglesey,
b_yns_mon,
b_holyhead,
c_denbighshire,
b_denbigh,
b_wrexham,
b_ruthin,
d_powys,
c_maldwyn,
b_welshpool,
b_newtown,
c_sir_faesyfed,
b_llandrindod,
b_rhayader,
c_hereford,
b_hereford,
b_wigmore,
b_clifford,
d_morgannwg,
c_glamorgan,
b_cardiff,
b_caerphilly,
